=== Training Log Started ===
Configurations: Namespace(data_root='/mnt/afs/250010063/AP0004_Midterm/data', save_path='/mnt/afs/250010063/AP0004_Midterm/results', exp='RNN_Luong_TF1', hidden_size=512, n_layers=2, dropout=0.3, attn_method='general', resume='', batch_size=240, lr=0.0008, epochs=50, clip=1.0, seed=42, teacher_forcing_ratio=1)
Using device: cuda
Model initialized with 34,077,282 trainable parameters
Epoch0, Iter [1/417] | Loss: 9.7406
Epoch0, Iter [2/417] | Loss: 9.7400
Epoch0, Iter [3/417] | Loss: 9.7390
Epoch0, Iter [4/417] | Loss: 9.7376
Epoch0, Iter [5/417] | Loss: 9.7353
Epoch0, Iter [6/417] | Loss: 9.7313
Epoch0, Iter [7/417] | Loss: 9.7247
Epoch0, Iter [8/417] | Loss: 9.7135
Epoch0, Iter [9/417] | Loss: 9.6956
Epoch0, Iter [10/417] | Loss: 9.6638
Epoch0, Iter [11/417] | Loss: 9.6122
Epoch0, Iter [12/417] | Loss: 9.5237
Epoch0, Iter [13/417] | Loss: 9.3650
Epoch0, Iter [14/417] | Loss: 9.0780
Epoch0, Iter [15/417] | Loss: 8.5817
Epoch0, Iter [16/417] | Loss: 7.9486
Epoch0, Iter [17/417] | Loss: 7.5432
Epoch0, Iter [18/417] | Loss: 7.3692
Epoch0, Iter [19/417] | Loss: 7.2506
Epoch0, Iter [20/417] | Loss: 7.1293
Epoch0, Iter [21/417] | Loss: 7.0433
Epoch0, Iter [22/417] | Loss: 6.9601
Epoch0, Iter [23/417] | Loss: 6.9139
Epoch0, Iter [24/417] | Loss: 6.8230
Epoch0, Iter [25/417] | Loss: 6.7700
Epoch0, Iter [26/417] | Loss: 6.7473
Epoch0, Iter [27/417] | Loss: 6.7204
Epoch0, Iter [28/417] | Loss: 6.6400
Epoch0, Iter [29/417] | Loss: 6.6966
Epoch0, Iter [30/417] | Loss: 6.6500
Epoch0, Iter [31/417] | Loss: 6.6269
Epoch0, Iter [32/417] | Loss: 6.6114
Epoch0, Iter [33/417] | Loss: 6.6666
Epoch0, Iter [34/417] | Loss: 6.6553
Epoch0, Iter [35/417] | Loss: 6.6719
Epoch0, Iter [36/417] | Loss: 6.7184
Epoch0, Iter [37/417] | Loss: 6.7217
Epoch0, Iter [38/417] | Loss: 6.6487
Epoch0, Iter [39/417] | Loss: 6.7249
Epoch0, Iter [40/417] | Loss: 6.7145
Epoch0, Iter [41/417] | Loss: 6.6826
Epoch0, Iter [42/417] | Loss: 6.7032
Epoch0, Iter [43/417] | Loss: 6.6906
Epoch0, Iter [44/417] | Loss: 6.5982
Epoch0, Iter [45/417] | Loss: 6.6623
Epoch0, Iter [46/417] | Loss: 6.6864
Epoch0, Iter [47/417] | Loss: 6.7175
Epoch0, Iter [48/417] | Loss: 6.6851
Epoch0, Iter [49/417] | Loss: 6.6397
Epoch0, Iter [50/417] | Loss: 6.6386
Epoch0, Iter [51/417] | Loss: 6.6475
Epoch0, Iter [52/417] | Loss: 6.6375
