=== Training Log Started ===
Configurations: Namespace(data_root='/mnt/afs/250010063/AP0004_Midterm/data', save_path='/mnt/afs/250010063/AP0004_Midterm/results', exp='Transformer_embedding_sinusoidal_1e4', d_model=256, n_head=8, n_layers=3, ffn_dim=1024, dropout=0.33, norm_type='layernorm', pos_type='sinusoidal', resume='', batch_size=240, lr=0.0008, epochs=50, clip=1.0, seed=42)
Using device: cuda
Model initialized with 22,183,010 trainable parameters
Epoch0, Iter [1/417] | Loss: 9.7727
Epoch0, Iter [2/417] | Loss: 9.7446
Epoch0, Iter [3/417] | Loss: 9.7074
Epoch0, Iter [4/417] | Loss: 9.6969
Epoch0, Iter [5/417] | Loss: 9.6700
Epoch0, Iter [6/417] | Loss: 9.6348
Epoch0, Iter [7/417] | Loss: 9.6152
Epoch0, Iter [8/417] | Loss: 9.5859
Epoch0, Iter [9/417] | Loss: 9.5676
Epoch0, Iter [10/417] | Loss: 9.5451
Epoch0, Iter [11/417] | Loss: 9.5136
Epoch0, Iter [12/417] | Loss: 9.4957
Epoch0, Iter [13/417] | Loss: 9.4811
Epoch0, Iter [14/417] | Loss: 9.4525
Epoch0, Iter [15/417] | Loss: 9.4203
Epoch0, Iter [16/417] | Loss: 9.4135
Epoch0, Iter [17/417] | Loss: 9.3787
Epoch0, Iter [18/417] | Loss: 9.3660
Epoch0, Iter [19/417] | Loss: 9.3359
Epoch0, Iter [20/417] | Loss: 9.3244
Epoch0, Iter [21/417] | Loss: 9.3199
Epoch0, Iter [22/417] | Loss: 9.2696
Epoch0, Iter [23/417] | Loss: 9.2656
Epoch0, Iter [24/417] | Loss: 9.2347
Epoch0, Iter [25/417] | Loss: 9.2230
Epoch0, Iter [26/417] | Loss: 9.1811
Epoch0, Iter [27/417] | Loss: 9.1699
Epoch0, Iter [28/417] | Loss: 9.1501
Epoch0, Iter [29/417] | Loss: 9.1072
Epoch0, Iter [30/417] | Loss: 9.1246
Epoch0, Iter [31/417] | Loss: 9.0775
Epoch0, Iter [32/417] | Loss: 9.0491
Epoch0, Iter [33/417] | Loss: 9.0235
Epoch0, Iter [34/417] | Loss: 8.9905
Epoch0, Iter [35/417] | Loss: 8.9747
Epoch0, Iter [36/417] | Loss: 8.9806
Epoch0, Iter [37/417] | Loss: 8.9283
Epoch0, Iter [38/417] | Loss: 8.9195
Epoch0, Iter [39/417] | Loss: 8.8841
Epoch0, Iter [40/417] | Loss: 8.8548
Epoch0, Iter [41/417] | Loss: 8.8224
Epoch0, Iter [42/417] | Loss: 8.7956
Epoch0, Iter [43/417] | Loss: 8.7702
Epoch0, Iter [44/417] | Loss: 8.7583
Epoch0, Iter [45/417] | Loss: 8.7199
Epoch0, Iter [46/417] | Loss: 8.6649
Epoch0, Iter [47/417] | Loss: 8.6980
Epoch0, Iter [48/417] | Loss: 8.6348
Epoch0, Iter [49/417] | Loss: 8.6030
Epoch0, Iter [50/417] | Loss: 8.5738
Epoch0, Iter [51/417] | Loss: 8.5491
Epoch0, Iter [52/417] | Loss: 8.5061
Epoch0, Iter [53/417] | Loss: 8.4686
Epoch0, Iter [54/417] | Loss: 8.4255
Epoch0, Iter [55/417] | Loss: 8.4038
